ninds_aff_name,fiscal_year_total_cost
greenwood genetic center,
grinnell college,
"group operations, inc.",
"guilford pharmaceuticals, inc.",
guthrie foundation for education and res,
gvd corporation,
"h-cubed, inc.",
h. lee moffitt cancer ctr & res inst,
hadassah-hebrew university medical ctr,
"hager biosciences, inc.",
"halimed pharmaceuticals, inc.",
hamilton college,
hampshire college,
hannover medical school,
hanover school of veterinary medicine,
harris frc corporation,
"harvard bioscience, inc.",
harvard medical school,
harvard school of public health,
harvard university (sch of public hlth),
haverford college,
"hawaii biotech, inc.",
"health protection research, inc.",
"health research analysis, inc.",
healthone alliance,
healthpartners research foundation,
herbert h. lehman college,
"herbst research, inc.",
hhmi cold spring harbor laboratory,
"highland instruments, inc.",
"hillhurst biopharmaceuticals, inc.",
"hmd therapeutics, inc.",
hong kong univ of science & technology,
hood college,
hope pharmaceuticals,
hopital marie lannelongue,
hospital for joint diseases ortho inst,
hospital for sick chldrn (toronto),
howard university,
human biomolecular research institute,
"hybernia medical, llc",
ibm thomas j. watson research center,
"icagen, inc.",
icahn school of medicine at mount sinai,
"ichor medical systems, inc.",
icogenex corporation,
idaho state university,
"ihealthscreen, inc.",
illinois institute of technology,
illinois state university,
im systems,
"image-guided neurologics, inc.",
"imaging biometrics, llc",
"imarx therapeutics, inc.",
"immersivetouch, inc.",
immudx,
"immunarray usa, inc.",
"immune disease institute, inc.",
"in cytu, inc.",
"in vitro strategies, llc",
inarian- neurodiagnostic,
ind solutions,
indiana university,
"infinite biomedical technologies, llc",
"infinity conference group, inc.",
"inflamacore, llc",
"inflame therapeutics, inc.",
infoscitex corporation,
"infotech soft, inc.",
inframat corporation,
inhibikase therapeutics,
"inner health, inc.",
innersea technology,
"innersea technology, inc",
"innosense, llc",
inotek pharmaceuticals corporation,
"insight neuroimaging systems, llc",
"insight surgical technologies, llc",
institute for cancer research,
institute for genomic research,
institute for molecular medicine,
institute for neurodegenerative disordrs,
"institute of advanced sciences, inc.",
"institute of molecular biology, inc.",
institute of neurological research,
instituto de investigaciones biologicas,
"intan technologies, llc",
"intan technologies, llc.",
integra lifesciences corporation,
integrated biosening technologies,
integrated nonclinical de,
"integrated tissue dynamics, llc",
intelligent fiber optic systems corp,
"intelligent optical systems, inc.",
interactive biologics associates,
"interactive drama, inc.",
international business machines corp,
international computer science institute,
international neuromodulation society,
international society/ neuroethology,
"intraimmune therapies, inc.",
"inventive software solutions, inc",
"iowa cancer research foundation, inc.",
"iq solutions, inc.",
"irisys, inc.",
"iron horse diagnostics, inc.",
irvine sensors corporation,
"isoplexis, inc.",
"iss, inc.",
istituto scientifico san raffaele,
"itn energy systems, inc.",
j. david gladstone institutes,
jackson state university,
jacksonville state university,
james madison university,
"jasin discovery solutions, inc.",
jfk medical center,
joslin diabetes center,
"js genetics, inc.",
"jt pharmaceuticals, inc.",
"k and k biosciences, inc.",
"kab laboratories, inc.",
kaiser foundation research institute,
karolinska institute,
keck graduate inst of applied life scis,
kennesaw state university,
kent state university,
kent state university at kent,
"kessler foundation, inc.",
keystone center,
keystone symposia,
"kinetic muscles, inc.",
king's college london,
"kitware, inc.",
kk biomed corporation,
"knopp biosciences, llc",
koester performance research,
koronis biomedical technologies corporat,
"kosan biosciences, inc.",
kovogen,
kra corporation,
"l2 diagnostics, llc",
la jolla infectious disease institute,
la jolla inst for allergy & immunolgy,
la jolla inst for molecular medicine,
lake forest college,
lankenau institute for medical research,
"lasmed, llc",
laval university,
"layton bioscience, inc.",
"lcg systems, llc",
lehdar systems corporation,
lehigh university,
leiden university medical center,
"lena biosciences, inc.",
lenox laser,
lewis and clark college,
"lickenbrock technologies, llc",
"life systems, inc.",
lifecell corporation,
"lifequest medical, inc.",
lifespan technology,
"lifesplice pharma, llc",
"lin, jiunn",
lincoln university,
"lipogene company, inc.",
lockheed martin aculight corporation,
loma linda university,
long beach memorial medical center,
louisiana state univ a&m col baton rouge,
louisiana state univ agricultural center,
louisiana state univ hsc shreveport,
louisiana state univ-univ of new orleans,
louisiana tech university,
lovelace biomedical & environmental res,
lovelace respiratory research institute,
"lpath therapeutics, inc.",
lsu health sciences center,
lsu pennington biomedical research ctr,
ludwig institute  for cancer res  ltd,
ludwig institute for cancer research,
"luminomics, inc.",
"luna innovations, inc.",
lurie children's hospital of chicago,
lynx design,
"maas biolab, inc.",
macalester college,
magee-women's res inst and foundation,
"magnesensors, inc.",
maimonides medical center (brooklyn),
maine medical center,
makerere university,
mallory institute of pathology,
"mandalmed, inc.",
"marblehead medical, llc",
march of dimes birth defects foundation,
"marine biomedical technologies, inc.",
marker gene technologies,
marshfield clinic research foundation,
"maryland medical research institute, inc",
massachusetts general hosp,
"mast therapeutics, inc.",
"matrical, inc.",
max delbrueck centrum for molecular med,
max planck florida corporation,
max planck institute for medical res,
"maxwell sensors, inc.",
mayo clinic,
mayo clinic  jacksonville,
mayo clinic arizona,
"mayo clinic coll of med, jacksonville",
"mayo clinic coll of med, mayo clinic az",
mayo clinic rochester,
"mb research laboratories, inc.",
mc laughlin research institute,
"mcguire research institute, inc.",
mclean hospital,
mcp hahnemann university,
mdb inc,
"medical advances, inc.",
medical college of wisconsin,
medical diagnostic research foundation,
"medical directions, inc.",
"medical metrics, inc.",
"medical toolworks, inc.",
"medigenix, llc",
"medosome biotec, llc",
medstar health research institute,
medstar research institute,
"metabiologics, inc.",
"metabolex, inc.",
"metactive medical, inc.",
methodist hospital research institute,
metrohealth medical center,
miami university oxford,
michigan technological university,
"micro probe, inc.",
"micro-leads, inc.",
"microbiological associates, inc.",
microconnex corporation,
"microfab technologies, inc.",
"microhelix, inc.",
microminiature interconnect technologies,
"microprobes for life science, inc.",
"microstrain, inc.",
"microtech designs, inc.",
"microtransponder, inc.",
mid-hudson family health institute,
middlebury college,
midwest research institute,
midwestern university,
"miicro, inc",
mimosa acoustics,
"mind probes, inc.",
minnesota center for health care ethics,
minnesota epilepsy group,
"minnesota epilepsy group, pa",
miriam hospital,
mirus bio corporation,
mississippi state university,
"mitokinin, inc.",
mitokor,
"mitovation, inc.",
"moberg medical, inc.",
"moberg research, inc.",
"modular bionics, inc.",
moebius syndrome foundation,
"molecular dynamics, inc.",
"molecular insight pharmaceuticals, inc.",
"molecular neuroimaging, llc",
"molecules for health, inc.",
monash university,
"monitec, inc.",
"montana molecular, llc",
montana state university (bozeman),
montana state university - bozeman,
montana state university -billings,
montclair state university,
morehouse college,
morehouse school of medicine,
"motogen, inc.",
mount desert island biological lab,
mount sinai school of medicine,
mount sinai school of medicine of nyu,
"mr-link, llc",
mt sinai hosp-samuel lunenfeld res inst,
"mucolipidosis type iv foundation, inc.",
murray state university,
myneurolab.com,
"mynosys cellular devices, inc.",
"myolex, inc.",
"myomics, inc.",
myriad proteomics,
nagy consulting,
nanomaterials and nanofabrication labs,
"nanomaterials research, llc",
"nanomatrix, inc.",
"nanonerve, inc.",
"nanosyn, inc.",
"nanotek, llc",
"naprogenix, inc",
nasa--ames research center,
"nascent technologies, ltd",
nat'l inst of hlth/med res inserm-paris,
nathan s. kline institute for psych res,
national jewish health,
national rehabilitation hospital,
natural medicines research institute,
"natural pharmacia international, inc.",
"navigen, inc.",
"ndi medical, llc",
"near infrared monitoring, inc. (nim)",
"neocytex biopharma, inc.",
"neogenesis technologies, llc",
"neokera, llc",
"nervive, inc.",
"nesher technologies, inc.",
"neural analytics, inc.",
neural arts,
neural intervention technologies,
"neural signals, inc.",
"neuralexo, llc",
"neuralstem biopharmaceuticals, ltd",
"neuralstem, inc.",
"neuramedica, llc",
"neurinsight, llc",
"neuro devices, inc.",
neuroanalytics corporation,
"neurobehavioral systems, inc.",
"neurobiological technologies, inc.",
"neurobiotex, inc.",
"neurocomp systems, inc.",
neurocontrol corporation,
"neurocrine biosciences, inc.",
"neurodx development, llc",
"neuroem therapeutics, inc.",
"neuroene therapeutics, llc",
"neurogate therapeutics, inc.",
neurogenesis,
"neurogenetic pharmaceuticals, inc.",
"neurognostics, inc.",
neurohealth,
"neuroimaging, inc.",
neuroindx inc.,
"neurolux, inc.",
"neuromics, inc.",
"neuron therapeutics, inc.",
neuronexus technologies,
"neurop, inc.",
"neuropathy association, inc.",
neurophysics corporation,
neuroprotection,
neuroscience research,
neuroscience research institute of nc,
neuroscience toolworks inc,
"neuroscript, llc",
"neurosigma, inc.",
neurotargeting systems,
"neurotargeting, llc",
neurotechnology development fdn,
"neurotronics, inc.",
"neurovasx, inc.",
"neurowave systems, inc.",
new england biomedical research center,
"new england research institutes, inc.",
new jersey institute of technology,
"new world medical, inc.",
new york blood center,
new york college of podiatric medicine,
new york state cncl for mtl hygiene plng,
new york university school of medicine,
new york-presbyterian hospital,
"nexeon medsystems puerto rico operating company, inc",
"nexgenix pharmaceuticals, inc.",
nobex corporation,
"norron systems, inc.",
north carolina agri & tech st univ,
north carolina central university,
north dakota state university,
north shore university hospital,
northeast ohio medical university,
northeastern state university,
northern california institute res & educ,
northern california institute/res/edu,
northern illinois university,
northern kentucky university,
northshore univ healthsystem res inst,
northshore university healthsystem,
northwestern university at chicago,
"nortis, inc.",
"nostix, llc",
"nova medical, inc.",
nova research company,
nova southeastern university,
novartis inst for functional genomics,
novascreen biosciences corporation,
"novoneuron, inc.",
"novoron bioscience, inc.",
"nps pharmaceuticals, inc.",
"nuvox pharma, llc",
nyu winthrop hospital,
occidental college,
och loeb medical research institute,
ochsner clinic foundation,
"oculogica, inc.",
ogilvy public relations worldwide,
oklahoma state university stillwater,
omeros corporation,
"omneuron, inc.",
"omniox, inc.",
"on target therapeutics, llc",
"oncoimmune, inc.",
"oncoimmune, ltd",
"onconova therapeutics, inc.",
"oncovir, inc.",
optical society of america,
"optima neuroscience, inc.",
"orbital research, inc.",
"orcca technology, inc.",
"ordway research institute, inc.",
oregon health & science university,
oregon health and sci university,
oregon research institute,
"organix, inc.",
orincon corporation,
"orlando regional healthcare system, inc.",
orlando regional medical center,
orphagen pharmaceuticals,
"orphi therapeutics, inc.",
"orthopedic development, inc.",
oscient pharmaceuticals corporation,
osu center for health sciences,
osu center of health sciences,
ottawa health research institute,
ottawa hospital research institute,
"oyagen, inc.",
"p2d, inc.",
pacific health research institute,
pacific health research/ education inst,
pacific northwest research institute,
"pain therapeutics, inc.",
"palladian partners, inc.",
palmer college of chiropractic,
"palo alto institute for res & edu, inc.",
palo alto veterans instit for research,
"panacea pharmaceuticals, inc.",
paratek pharmaceuticals,
parent project muscular dystrophy,
park nicollet institute,
parkinson's action network,
"pathmaker neurosystems, inc.",
pearson pharma partners,
pennsylvania state university,
pennsylvania state university-univ park,
"peptimmune, inc.",
personal improvement computer systems,
persyst development corporation,
"pet/x, llc",
"pharmac, llc",
"pharmacognetics, inc.",
pharmareview corporation,
"pharmathene, inc.",
"phase 2 discovery, inc.",
philadelphia college of osteopathic med,
"phoenix nest, inc.",
"photon imaging, inc.",
photon migration technologies corp,
"phylonix pharmaceuticals, inc.",
physical optics corporation,
"physical sciences, inc",
pierre and marie curie university,
"pinnacle technology, inc",
"pixelvision, inc.",
pk biosciences corporation,
"plantvax, inc.",
"platinum group coatings, llc",
"plumeria therapeutics, inc.",
pomona college,
"population diagnostics, inc.",
posit science corporation,
"possis medical, inc.",
potomac medical systems,
"ppd, inc.",
"prairie technologies, inc.",
"precomp, inc.",
"prediction sciences, llc",
predictive biology,
"preferred instruments, inc.",
"premitec, inc.",
"primorigen biosciences, inc.",
prism clinical imaging inc.,
"progenics pharmaceuticals, inc.",
"progenra, inc.",
"proscript, inc.",
"protein express, inc.",
"proterga, inc.",
"prothera biologics, llc",
"protomed, inc.",
"provid pharmaceuticals, inc",
providence portland medical center,
"psb adme associates, llc",
"psychogenics, inc.",
"psychological applications, llc",
"psychology software tools, inc.",
puget sound blood center,
"pulse therapeutics, inc.",
purdue university,
"q therapeutics, inc.",
"q-state biosciences, inc.",
"quality controlled biochemicals, inc.",
"qualitymetric, inc.",
"quantum magnetics, inc.",
"quasar, inc.",
queen's medical center,
queens college,
queensland institute of medical research,
"r.c. electronics, inc.",
"radikal therapeutics, inc.",
"radiotracer, inc.",
rbhs-new jersey medical school,
rbhs-robert wood johnson medical school,
rbhs-school of public health,
rbhs-school/ health related professions,
"receptor biology, inc.",
"recombinetics, inc.",
"recovr, inc.",
red hill studios,
reed college,
"regeneration matrix, llc",
regenerative research foundation,
regents of the university of c,
rehabilitation institute of chicago,
"rehabtek, llc",
"relive for kids, llc",
"renetx bio, inc.",
"reneurogen, llc",
"renovo neural, inc.",
rensselaer polytechnic institute,
"replicon technologies, inc.",
research inst nationwide children's hosp,
research inst of fox chase can ctr,
research triangle institute,
"reset therapeutics, inc.",
"resilio therapeutics, llc",
"resqsystems, inc.",
"rest technologies, inc.",
"restless legs syndrome foundation, inc.",
"retrotherapy, llc",
"reveragen biopharma, inc.",
"rfe pharma, inc.",
rhode island hospital,
"ribometrix, llc",
rice university,
richard stockton college of new jersey,
rider university,
"rio pharmaceuticals, inc.",
"ripple, llc",
"robomedica, inc.",
"rokhan, llc",
"roskamp institute, inc.",
roswell park cancer institute corp,
rowan university,
rowan university school/osteopathic med,
"rules-based medicine, inc.",
"rural technologies, inc.",
rutgers the state univ of nj camden,
"rutgers, the state univ of n.j.",
"rxgen, inc.",
"rytek medical, inc.",
"sage therapeutics, inc.",
"saimol international, inc.",
salpetriere hospital,
salus therapeutics,
"samaritan pharmaceuticals, inc.",
san diego biomedical research institute,
san raffaele hospital,
"saneron ccel therapeutics, inc.",
sanford burnham prebys medical discovery institute,
sanford research/usd,
sanford-burnham medical research instit,
sanger institute,
santa clara university,
schepens eye research institute,
"sciarra laboratories, inc.",
"science and engineering services, inc.",
science applications international corp,
"scienceplusplease, llc",
"scimeasure analytical systems, inc.",
scintillon institute for photobiology,
scott and white memorial hospital,
scottish rite children's medical center,
scripps florida,
"sea run holdings, inc.",
"seacoast science, inc.",
sean r. maloney and company,
seattle biomedical research institute,
seattle inst for biomedical/clinical res,
"second sight medical products, inc.",
"selective genetics, inc.",
"selva medical, inc.",
"seneb biosciences, inc.",
"sensor technologies, inc.",
sepulveda research corporation,
"sequent medical, inc.",
seracare bioservices,
seton hall university,
"seurat therapeutics, inc.",
sextant medical corporation,
"sfc fluidics, llc",
sidney kimmel cancer center,
"sierra interventions, llc",
"sigenics, inc.",
sigma-aldrich research biochemical,
"signal solutions, llc",
silicog,
"simatra modeling technologies, llc",
simmons college,
simplx pharmaceuticals,
sinai hospital of baltimore,
"siteone therapeutics, inc.",
skidmore college,
"skybridge pharmaceuticals, inc.",
sleep research society,
"sleep-wake systems, inc. (sws)",
sloan-kettering inst can res,
sloan-kettering inst can research,
smith college,
"snowdon pharmaceuticals, inc.",
society for academic emergency medicine,
society of general physiologists,
"society to increase mobility, inc.",
sociometrics corporation,
"socratech, llc",
"solano pharmaceuticals, inc.",
"somagenics, inc.",
"sonoscrew, inc.",
"soterix medical,inc.",
source precision medicine,
"southeast techinventures, inc.",
"southern biosystems, inc.",
southern illinois univ at edwardsville,
southern illinois university carbondale,
southern methodist university,
southern research institute,
southern univ a&m col baton rouge,
southwest foundation for biomedical res,
"soymeds, inc.",
sparta pharmaceutical corporation,
spaulding rehabilitation hospital,
"spectra biomedical, inc.",
spectros corporation,
speech technology/applied research corp.,
spencer technologies,
"speragen, inc.",
spina bifida association,
"spr therapeutics, llc",
sri international,
"srico, inc.",
st. charles pharmaceuticals,
st. joseph's hospital and medical center,
st. mary's university,
st. olaf college,
"stallion therapeutics, inc.",
"starwise therapeutics, llc",
state college of optometry,
state university new york binghamton,
"state university of ny,binghamton",
"stategics, inc.",
stellenbosch university tygerberg campus,
"stem pharm, inc.",
"stemcelllife, llc",
"stemcells, inc.",
"stemetix, inc.",
sterling research corporation,
stevens institute of technology,
stowers institute for medical research,
"sujana biotech, llc",
summa health system,
sun health research institute,
"surgical navigation technologies, inc.",
"surromed, inc.",
"swedish medical center, first hill",
"synapse biomedical, inc.",
synchrony applied health sciences,
"synkera technologies, inc.",
"syntex (usa), inc.-research division",
"synthonics, inc.",
"synthons, inc.",
"synzyme technology, inc.",
syracuse university,
"systems science, inc.",
"systems technology, inc.",
t. j. watson research center,
"tanner research, inc.",
"tapestry pharmaceuticals, inc.",
"targazyme, inc.",
targeted molecules corporation,
"tcg, inc.",
"tda research, inc.",
"techen, inc.",
"tega therapeutics, inc.",
tel aviv university,
"teleprime, inc.",
"telik, inc.",
temple univ of the commonwealth,
tennessee state university,
tera biotechnology corporation,
"terpenoid therapeutics, inc.",
"tetra discovery partners, inc.",
texas a&m agrilife research,
texas a&m university,
texas a&m university system,
texas a&m university-kingsville,
texas agrilife research,
texas biomedical research institute,
texas engineering experiment station,
texas heart institute,
texas tech university,
texas woman's university,
the mind research network,
"theradigm, inc.",
"therasource, llc",
theratarget,
"therataxis, llc",
"theratome bio, inc.",
thuris corporation,
"thync, inc",
tini alloy company,
"tiranoff productions, llc",
"tissuegen, inc.",
"tissuevision, inc.",
"titan pharmaceuticals, inc.",
"topicseek, llc",
toronto general hospital,
toronto western hospital,
torrey pines inst for molecular studies,
"tourette association of america, inc.",
"tourette syndrome association, inc",
touro university of california,
translational genomics research inst,
"translational sciences, inc.",
"transmolecular, inc.",
"transonic systems, inc.",
"trevena, inc.",
"trevigen, inc.",
trinity college,
trinity university,
"tristan technologies, inc.",
"trudeau institute, inc.",
truman state university,
tuberous sclerosis alliance,
"tucker-davis technologies, inc.",
tufts university medford,
tuskegee university,
twin star medical,
"twin star tds, llc",
u of l imperial col of sci/technlgy/med,
u.s. army medical research inst chem def,
u.s. national inst of environ hlth scis,
u.s. naval academy,
"ugm medical systems, inc.",
union college,
united leukodystrophy foundation,
univ of arkansas for med scis,
"univ of maryland, college park",
univ of med/ dent of nj-sch/hlth rel pro,
univ of med/dent nj-sch osteopathic med,
univ of north carolina chapel hill,
"univ of tx hsc, sa",
univ/texas brownsville & southmost coll,
universidad nacional autonoma de mexico,
universidad peruana cayetano heredia,
university health network,
university hospital antwerp,
university of akron,
university of alabama in huntsville,
university of alabama in tuscaloosa,
university of alaska fairbanks,
university of alberta,
university of arkansas at fayetteville,
university of bordeaux ii,
university of calgary,
university of california,
university of california at davis,
university of california los a,
university of california santa cruz,
"university of california, merced",
"university of california, san diego",
"university of california, san francisco",
university of california-irvine,
university of central arkansas,
university of central florida,
university of colorado,
university of colorado at colorado spgs,
university of copenhagen,
university of dayton,
university of delaware,
university of denver (colorado seminary),
university of freiburg,
university of geneva,
university of georgia,
university of georgia (uga),
university of heidelberg,
university of ibadan  college of medicine,
university of idaho,
university of illinois,
university of illinois at urbana-champaign,
university of kansas,
university of kansas lawrence,
university of kuopio,
university of leicester,
university of lethbridge,
university of liverpool,
university of louisiana at monroe,
university of manchester,
university of manitoba,
university of maryland balt co campus,
university of maryland eastern shore,
university of massachusetts,
university of massachusetts boston,
university of massachusetts dartmouth,
university of massachusetts lowell,
university of md biotechnology institute,
university of memphis,
university of miami rosenteil school,
university of michigan,
university of minnesota,
university of mississippi,
university of mississippi med ctr,
university of missouri-st. louis,
university of montreal,
university of nebraska kearney,
university of nebraska omaha,
university of nevada las vegas,
university of new england,
university of new mexico health scis ctr,
university of newcastle,
university of north carolina charlotte,
university of north carolina wilmington,
university of north texas,
university of nottingham,
university of oxford,
university of paris vi,
university of pittsburgh,
university of prince edward island,
university of puerto rico rio piedras,
university of queensland,
university of rhode island,
university of richmond,
university of sheffield,
university of south dakota,
university of sydney,
university of tennessee knoxville,
university of texas arlington,
university of texas dallas,
university of texas el paso,
university of texas hlth sci c,
university of texas hlth science center,
university of texas med br galveston,
university of texas of the permian basin,
university of texas rio grande valley,
university of texas san antonio,
university of texas sw med ctr,
university of texas tyler,
"university of texas, austin",
university of the district of columbia,
university of the pacific-stockton,
university of the sciences philadelphia,
university of tx md anderson can ctr,
university of udine,
university of valparaiso,
university of virginia,
"university of wales, bangor",
university of western australia,
university of wisconsin milwaukee,
university of wisconsin-madison,
university of zurich,
"ursus medical, llc",
ut md anderson cancer ctr,
ut southwestern medical center,
"valentis, inc.",
"valerion therapeutics, llc",
van andel research institute,
vanderbilt university med ctr,
vanderbilt university medical center,
vassar college,
verifax corporation,
"versiti wisconsin, inc.",
veterans biomedical research institute,
veterans medical research fdn/san diego,
"vetgen, llc",
"vidrio technologies, llc",
"vigilant medical, inc.",
"virogenomics biodevelopment, inc.",
"virogenomics, inc.",
"virtici, llc",
"vision application, inc.",
"visiongate, inc.",
visionquest biomedical,
"visionquest biomedical, llc",
"vistagen therapeutics, inc.",
vivid technologies,
"vivonics, inc.",
"vortant technologies, llc",
"vulintus, llc",
wake forest university health sciences,
"wave 80 biosciences, inc.",
websciences international,
weill medical coll of cornell univ,
"weinberg medical physics, llc",
weizmann institute of science,
wesleyan university,
westat,
"westat, inc.",
western michigan university,
"western systems research, inc.",
western university of health sciences,
western washington university,
white global pharma consu,
"white global pharma consultants, llc",
whitehead institute for biomedical res,
whm consulting,
wichita state university,
wilkes university,
william beaumont hospital research inst,
williams college,
winifred masterson burke med res inst,
"winsantor, inc.",
"winston pharmaceuticals, inc.",
women and infants hospital-rhode island,
woods hole oceanographic institution,
worcester polytechnic institute,
"world parkinson coalition, inc.",
wr medical electronics company,
"xalud therapeutics, inc.",
"xeris pharmaceuticals, inc.",
"xona microfluidics, llc",
"xoran technologies, inc.",
"xoran technologies, llc",
"zacharon pharmaceuticals, inc.",
"zygogen, llc",
zymo research corporation,
